uuid,name,type,permalink,cb_url,rank,created_at,updated_at,acquiree_uuid,acquiree_name,acquiree_cb_url,acquiree_country_code,acquiree_state_code,acquiree_region,acquiree_city,acquirer_uuid,acquirer_name,acquirer_cb_url,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquisition_type,acquired_on,price_usd,price,price_currency_code
4cc1723c-ec92-dcee-4612-0ae2d747fa82,bomnegócio.com acquired by OLX Brazil,acquisition,olx-brazil-acquires-bomneg-cio-com--4cc1723c,https://www.crunchbase.com/acquisition/olx-brazil-acquires-bomneg-cio-com--4cc1723c,62159,2017-07-05 09:33:41,2018-02-12 23:34:03,802078ab-d05d-34d0-dea2-087607d841e6,bomnegócio.com,https://www.crunchbase.com/organization/bomneg-cio-com,BRA,,Rio de Janeiro,Rio De Janeiro,b853819f-8a12-0858-1361-d81d98f64edd,OLX Brazil,https://www.crunchbase.com/organization/olx-brazil,BRA,,Minas Gerais,Brazilia,acquisition,2014-11-13,,,
cd223c81-31dd-4239-8697-fe57876b8639,AeroCision acquired by Liberty Hall Capital Partners,acquisition,liberty-hall-capital-partners-acquires-aerocision--cd223c81,https://www.crunchbase.com/acquisition/liberty-hall-capital-partners-acquires-aerocision--cd223c81,60688,2018-04-04 05:38:02,2018-04-04 05:38:02,ad0c6b8c-1656-4ce7-85c9-c906e41ac7b4,AeroCision,https://www.crunchbase.com/organization/aerocision,USA,CT,Connecticut,Chester,a291c402-3240-562f-f0ea-c0d0762a2edf,Liberty Hall Capital Partners,https://www.crunchbase.com/organization/liberty-hall-capital-partners,USA,NY,New York,New York,acquisition,2018-04-03,,,
fc02d875-2d2a-2f8a-9848-9bcd4dbadff7,Augmentis Plc acquired by Navigant Consulting,acquisition,navigant-consulting-acquires-augmentis-plc--fc02d875,https://www.crunchbase.com/acquisition/navigant-consulting-acquires-augmentis-plc--fc02d875,68353,2017-08-28 13:36:48,2018-02-12 23:44:19,3ed219f3-3efe-b1a3-df80-e741fb3ed70d,Augmentis Plc,https://www.crunchbase.com/organization/augmentis-plc,GBR,,Birmingham,Birmingham,9789cfba-615c-10ce-ab1a-8ec091852bd5,Navigant Consulting,https://www.crunchbase.com/organization/navigant-consulting,USA,IL,Illinois,Chicago,acquisition,2007-06-08,16200000.0,16200000.0,USD
8aa58dc7-e1b2-c2da-a16d-5b718b1762bc,Admiral Taverns acquired by Cerberus Capital Management,acquisition,cerberus-capital-management-acquires-admiral-taverns--8aa58dc7,https://www.crunchbase.com/acquisition/cerberus-capital-management-acquires-admiral-taverns--8aa58dc7,33273,2017-09-14 07:56:07,2018-02-12 23:38:15,17e7c57e-28ad-e078-6a6a-621ec5ade976,Admiral Taverns,https://www.crunchbase.com/organization/admiral-taverns,GBR,,Cheshire,Chester,6c454133-a62b-a8af-e537-9b93828c00e8,Cerberus Capital Management,https://www.crunchbase.com/organization/cerberus-capital-management,USA,NY,New York,New York,lbo,2013-01-04,323000000.0,323000000.0,USD
8d4a8151-5a0a-417c-9aec-2830b0210534,Wind Lake Solutions acquired by SSP Innovations,acquisition,ssp-innovations-acquires-wind-lake-solutions--8d4a8151,https://www.crunchbase.com/acquisition/ssp-innovations-acquires-wind-lake-solutions--8d4a8151,61796,2018-04-06 06:24:20,2018-04-06 06:24:20,93706105-afc3-4be1-8d37-2cbbb1487f36,Wind Lake Solutions,https://www.crunchbase.com/organization/wind-lake-solutions,USA,WI,Wisconsin,Mukwonago,2d4e7401-a132-2972-87fc-edfbc9d3d868,SSP Innovations,https://www.crunchbase.com/organization/ssp-innovations,USA,CO,Colorado,Centennial,acquisition,2018-04-05,,,
5ce93e52-add8-ed3a-b9fd-f06c7bc15fee,Ag-Chem Equipment acquired by AGCO Corporation,acquisition,agco-corporation-acquires-ag-chem-equipment--5ce93e52,https://www.crunchbase.com/acquisition/agco-corporation-acquires-ag-chem-equipment--5ce93e52,35498,2017-04-18 10:35:15,2018-02-12 23:38:00,11c0531f-3033-a345-e73f-3d599419e9bf,Ag-Chem Equipment,https://www.crunchbase.com/organization/ag-chem-equipment,USA,MN,Minnesota,Minnetonka,21cd4b72-f9cd-6983-66c2-1b5b11816490,AGCO Corporation,https://www.crunchbase.com/organization/agco-corporation,USA,GA,Georgia,Duluth,acquisition,2000-11-20,227000000.0,227000000.0,USD
f32d38be-8f1a-4175-4a1e-36fe632e2836,LeisureLink acquired by VacationRoost,acquisition,vacationroost-acquires-leisurelink--f32d38be,https://www.crunchbase.com/acquisition/vacationroost-acquires-leisurelink--f32d38be,27066,2014-03-06 03:28:45,2018-02-12 22:48:10,e0ddfd9f-9ec1-324b-9fe0-a3e797b7217e,LeisureLink,https://www.crunchbase.com/organization/leisurelink,USA,CA,California,Pasadena,6a14f648-0dd4-c1f4-e732-c75ec7846bba,VacationRoost,https://www.crunchbase.com/organization/vacationroost,USA,UT,Utah,Salt Lake City,acquisition,2014-03-05,,,
759ca128-c15f-4465-9ff5-d5b6616a5c33,Karan Beef acquired by Public Investment Corporation,acquisition,public-investment-corporation-acquires-karan-beef--759ca128,https://www.crunchbase.com/acquisition/public-investment-corporation-acquires-karan-beef--759ca128,6476,2018-10-24 09:44:01,2018-10-24 09:44:01,9632ba78-ec87-4e36-a12a-6997a7544e58,Karan Beef,https://www.crunchbase.com/organization/karan-beef,ZAF,,NA - South Africa,Gauteng,8f2632c7-d4fb-37d5-de36-78506de421e2,Public Investment Corporation,https://www.crunchbase.com/organization/public-investment-corporation,ZAF,,NA - South Africa,Pretoria,acquisition,2018-10-23,,,
992e234e-0e22-7f60-7bf9-28578b57e0dd,University Netcasting acquired by Student Advantage,acquisition,student-advantage-acquires-university-netcasting--992e234e,https://www.crunchbase.com/acquisition/student-advantage-acquires-university-netcasting--992e234e,29424,2017-09-22 11:00:26,2018-02-12 23:54:06,0f03e8b6-5ef0-e6b8-d014-e7c1723d574f,University Netcasting,https://www.crunchbase.com/organization/university-netcasting,USA,CA,California,Carlsbad,63a36d8e-3cc5-be31-4feb-da97d6553b81,Student Advantage,https://www.crunchbase.com/organization/student-advantage,USA,MA,Massachusetts,Boston,acquisition,1998-06-18,,,
b5073759-a510-76bb-9e67-ea5a1054c2fb,SemEquip acquired by Ceradyne,acquisition,ceradyne-acquires-semequip--b5073759,https://www.crunchbase.com/acquisition/ceradyne-acquires-semequip--b5073759,87438,2009-08-28 14:35:19,2018-02-12 23:42:39,77e8ce78-0116-10aa-ca11-6c7910d42884,SemEquip,https://www.crunchbase.com/organization/semequip,USA,MA,Massachusetts,North Billerica,ffaeb9bb-e4a1-1d43-a58b-c9b85be40915,Ceradyne,https://www.crunchbase.com/organization/ceradyne,USA,CA,California,Costa Mesa,acquisition,2008-07-08,125000000.0,125000000.0,USD
