uuid,name,type,permalink,cb_url,rank,created_at,updated_at,person_uuid,person_name,institution_uuid,institution_name,degree_type,subject,started_on,completed_on,is_completed
b9d78238-2eb7-6f8b-9907-01899ba8f68e,MBA  unknown @ University of Virginia Darden School of Business,degree,,,,2013-07-17 12:04:49,2018-02-13 01:43:10,d7d4b935-3f36-4f9b-4f1e-80a9c688d486,Link Walls,9fa9e823-4dcc-b4fc-900c-a0620acf56c2,University of Virginia Darden School of Business,MBA,unknown,,,False
24093d24-2b28-5347-d333-5e2e54b8c97b,unknown  unknown @ Northeastern University,degree,,,,2014-02-12 22:46:00,2018-02-13 01:40:07,bbb7374d-3121-f2dd-0d6d-4d25945ca9b5,Trevor Timm,5f84d9fa-78fd-14b0-d335-5ac3561cdc0a,Northeastern University,unknown,unknown,,,False
4c7264c9-5125-4d50-8f81-f2a77a72037f,Doctor of law  Law @ St. Thomas University School of Law,degree,,,,2018-09-06 16:27:34,2018-09-06 16:27:34,b0306de4-0f2b-4d72-9cb3-e2eebafb05f2,Ricky Patel,bfe47777-1afd-b86f-2cc1-7f0d7df289ed,St. Thomas University School of Law,Doctor of law,Law,2006-01-01,2009-01-01,True
bb4ac02f-59e4-2a1b-7c6a-0b2e7d4bb5c8,"MS  Human Resource Development, emphasis Curriculum and Instruction, Leadership & Social Development @ Texas A&M University",degree,,,,2014-01-02 07:10:45,2018-02-13 01:43:12,40bca0c0-903d-8316-6eba-c1c66da5410f,Madhulika S,2f45727b-241c-b2cd-455a-78a8c261cbc0,Texas A&M University,MS,"Human Resource Development, emphasis Curriculum and Instruction, Leadership & Social Development",2008-01-01,2010-01-01,True
ff3cf44c-dbdc-4832-b9c0-cb6d5eccffa6,BS  Business Administration @ Gordon College,degree,,,,2018-06-29 11:57:46,2018-06-29 11:57:46,c03c2311-a1cf-49bf-82e2-6d8dd223764b,Thomas Patchin,fb033162-82d5-9cd8-100e-6688a54d0bb9,Gordon College,BS,Business Administration,,,False
69de00c5-5162-f2a0-79b2-b8736c2c0ab8,BS  Computer Science @ Stanford University,degree,,,,2010-10-28 17:38:36,2018-02-13 01:41:31,6eacd049-e8d4-5fd9-ee8d-a7294e6c0a11,Mark Simon,20135206-96eb-8be0-9ac4-670b257e532c,Stanford University,BS,Computer Science,,1998-01-01,True
1249081f-cbdb-c107-33f2-ba34004b83c9,MBA  unknown @ Cornell University,degree,,,,2016-06-22 18:37:29,2018-02-13 01:39:48,ade47f3a-6d58-9a20-a253-8dc11ce98fe8,Luca Bortolami,e596515e-38e2-c9c0-7584-a46a8b1ff871,Cornell University,MBA,unknown,,,False
b5dc5b9e-4138-47db-ac01-4e44f745140d,,degree,,,,2018-06-26 11:22:19,2018-06-26 11:22:19,ce2b3264-5a61-4823-8a94-22c2287f3b54,Ryan Riley,b825f752-48a5-d778-e865-63a17ac3b59b,Macomb Community College,Unknown,,,,False
abd804fc-4db0-e332-2e38-8d8750ef5733,PhD  unknown @ University of Rennes 1,degree,,,,2015-06-18 05:08:23,2018-02-13 01:42:55,1128eb2e-5070-e829-4af9-de7ad113b68f,Gaspard Breton,6ce2198f-e343-4cc8-7b08-00a40e840221,University of Rennes 1,PhD,unknown,,,False
4779c1d6-ceff-41f8-aa4a-f1375f725e3d,M.A.  Computer Science @ Queens College,degree,,,,2018-06-23 10:57:49,2018-06-23 10:57:49,e3cfe565-23c3-4d3f-b1d6-3c9125235b11,Mike Norworth,fac9ec1c-8a94-493c-81f5-2449cc2b4760,Queens College,M.A.,Computer Science,1985-01-01,1988-01-01,True
