uuid,name,type,permalink,cb_url,rank,created_at,updated_at,event_uuid,event_name,participant_uuid,participant_name,participant_type,appearance_type,short_description
c5832019-aac7-455b-b854-5d6545eeaf3f,NoVA TechBreakfast's sponsor - Loudoun County Economic,event_appearance,loudoun-county-economic-sponsor-nova-techbreakfast-2015122--c5832019,https://www.crunchbase.com/event_appearance/loudoun-county-economic-sponsor-nova-techbreakfast-2015122--c5832019,,2015-11-22 05:07:51,2018-02-13 01:17:23,015161fb-aae0-d074-344e-1cd7835aeda6,NoVA TechBreakfast,7149a6b9-87bb-f258-6695-63da92d2fcac,Loudoun County Economic,organization,sponsor,
eb54d4ce-3c7c-4dcb-82bc-f6734452d1a0,NIPS 2018's speaker - Taesup Kim,event_appearance,taesup-kim-speaker-nips-2018--eb54d4ce,https://www.crunchbase.com/event_appearance/taesup-kim-speaker-nips-2018--eb54d4ce,,2018-10-26 08:00:05,2018-10-26 08:00:05,b9ed5c03-1707-44fd-901f-f6a207bd3c89,NIPS 2018,04f26d86-4f86-c54e-f3c6-3b4d29f50c9b,Taesup Kim,person,speaker,
66482291-1635-4380-9684-ebdf8bbba75a,Stylemuse #Startup101 Panel's speaker - Avery Roth,event_appearance,avery-roth-speaker-stylemuse-startup101-panel-2016412--66482291,https://www.crunchbase.com/event_appearance/avery-roth-speaker-stylemuse-startup101-panel-2016412--66482291,,2016-03-30 03:33:33,2018-02-13 01:15:24,1a282ceb-d986-1e1a-2819-fe840e76b83f,Stylemuse #Startup101 Panel,ea2add1b-8c3f-1306-f9da-9a29d973425b,Avery Roth,person,speaker,
aa505b0e-ff0a-4003-854d-f287c7829258,London Technology Week 2016's speaker - Steve Smith,event_appearance,steve-smith-16-speaker-london-technology-week-2016-2016620--aa505b0e,https://www.crunchbase.com/event_appearance/steve-smith-16-speaker-london-technology-week-2016-2016620--aa505b0e,,2016-05-22 13:46:52,2018-02-13 01:16:29,a76869d3-c666-7b87-8741-473f7341f3d8,London Technology Week 2016,aaad62cf-7971-1360-bd97-015a7c45650a,Steve Smith,person,speaker,
742bdab8-c6d6-4737-857d-905ee1f85698,RSA Conference 2017's speaker - John Carlin,event_appearance,john-carlin-2-speaker-rsa-conference-2017-2017213--742bdab8,https://www.crunchbase.com/event_appearance/john-carlin-2-speaker-rsa-conference-2017-2017213--742bdab8,,2016-12-24 04:22:50,2018-02-13 01:17:44,9a2cd0c3-33d8-909f-31a3-b72b67e3d4cd,RSA Conference 2017,94e4a9b5-010c-1a88-0d16-a5b1949b4738,John Carlin,person,speaker,
1d4c8bcd-71c5-4ed0-a453-535cada3bb47,Verge 2017's speaker - Zach Freeze,event_appearance,zach-freeze-speaker-verge-2017-2017919--1d4c8bcd,https://www.crunchbase.com/event_appearance/zach-freeze-speaker-verge-2017-2017919--1d4c8bcd,,2017-09-21 06:36:32,2018-02-13 01:15:03,2db1cb2d-d2fd-f926-ed59-1b61733e193c,Verge 2017,bf7c5f7d-99e6-e5ca-aac6-4fd47fd72258,Zach Freeze,person,speaker,
85da8f8e-ddcb-4234-98bc-c89dd24a4a74,API Days Paris's exhibitor - Tyk,event_appearance,tyk-io-exhibitor-api-days-paris--85da8f8e,https://www.crunchbase.com/event_appearance/tyk-io-exhibitor-api-days-paris--85da8f8e,,2019-05-02 22:18:33,2019-05-02 22:18:33,31385472-5677-44c8-b2a7-eb5702d1005f,API Days Paris,ef9615c6-8178-b1fd-7980-2a5b78992d00,Tyk,organization,exhibitor,
8bcc4a5c-be98-4c80-9a17-61a06f6d9993,Bits & Pretzels - The Founders Festival 2018's speaker - Oleg Fiksel,event_appearance,oleg-fiksel-speaker-bits-pretzels-founders-festival-2018-2018930--8bcc4a5c,https://www.crunchbase.com/event_appearance/oleg-fiksel-speaker-bits-pretzels-founders-festival-2018-2018930--8bcc4a5c,,2018-09-28 04:55:40,2018-09-28 04:55:40,b53b2d4f-fd34-182a-c9cc-44837e56a010,Bits & Pretzels - The Founders Festival 2018,4a3e0a6d-ba4a-47e9-a021-2b10510fe167,Oleg Fiksel,person,speaker,
7057cbf8-97e6-476b-9e7e-8e3b82332bdb,"RE.WORK Deep Learning Summit, San Francisco 2015's speaker - Josh Susskind",event_appearance,josh-susskind-speaker-deep-learning-innovation-summit-2015129-san-francisco--7057cbf8,https://www.crunchbase.com/event_appearance/josh-susskind-speaker-deep-learning-innovation-summit-2015129-san-francisco--7057cbf8,,2015-01-14 19:26:18,2018-02-13 01:15:44,3f98bd40-57f8-ad31-8d2e-092e7088df62,"RE.WORK Deep Learning Summit, San Francisco 2015",00252ed1-39d5-ca07-21f3-741ba3d22869,Josh Susskind,person,speaker,
5731cb83-ca5a-4589-8c86-3891988c6d4e,Bucaramanga Startup Weekend's sponsor - Motum Data,event_appearance,motum-data-sponsor-bucaramanga-startup-weekend-20141024-bucaramanga--5731cb83,https://www.crunchbase.com/event_appearance/motum-data-sponsor-bucaramanga-startup-weekend-20141024-bucaramanga--5731cb83,,2014-11-26 12:17:35,2018-02-13 01:15:56,ab0e2d99-ae81-1079-7f5b-e3024be12307,Bucaramanga Startup Weekend,311bd304-d205-afd9-9be8-fc4ee67d668a,Motum Data,organization,sponsor,
b19f2d52-e570-4475-8833-3d8587b8f1bd,Liferay Symposium North America 2015's sponsor - Vaadin,event_appearance,vaadin-sponsor-liferay-symposium-north-america-2015-2015916--b19f2d52,https://www.crunchbase.com/event_appearance/vaadin-sponsor-liferay-symposium-north-america-2015-2015916--b19f2d52,,2015-11-14 15:31:45,2018-02-13 01:15:09,68d7a799-04db-24e1-8347-16c3bafcf30c,Liferay Symposium North America 2015,7f816f9d-e4f5-2c05-d7eb-bc9bc847e713,Vaadin,organization,sponsor,gold
501b25ca-a1e0-4fcf-a513-0fe5dbcd23df,ISC West 2018's speaker - Ric McCullough,event_appearance,ric-mccullough-speaker-isc-west-2018--501b25ca,https://www.crunchbase.com/event_appearance/ric-mccullough-speaker-isc-west-2018--501b25ca,,2018-03-30 10:16:47,2018-03-30 10:16:47,4846a341-e849-4291-aaa7-ecd7bbd173d8,ISC West 2018,645fa884-0d4e-4647-a370-f74c7bdf99ed,Ric McCullough,person,speaker,
80756e8e-4e91-42d4-82ce-275f75c2dcdf,WebVisions Chicago 2015's sponsor - Mad*Pow,event_appearance,mad-pow-sponsor-webvisions-chicago-2015-2015923--80756e8e,https://www.crunchbase.com/event_appearance/mad-pow-sponsor-webvisions-chicago-2015-2015923--80756e8e,,2015-08-13 17:05:52,2018-02-13 01:17:43,f4f70d9a-bc88-18eb-2a53-988afdbf8715,WebVisions Chicago 2015,c018575b-5019-f443-f824-3bae66e21401,Mad*Pow,organization,sponsor,
5e994d27-968a-434c-a166-725567ef6107,DevConf.cz 2016's speaker - Zdenek Kabelac,event_appearance,zdenek-kabelac-speaker-devconf-cz-2016-201625--5e994d27,https://www.crunchbase.com/event_appearance/zdenek-kabelac-speaker-devconf-cz-2016-201625--5e994d27,,2016-02-10 05:54:31,2018-02-13 01:16:12,75cb5eef-6131-c472-f2a0-1dc6bf2c4ac1,DevConf.cz 2016,7e6664d7-26b9-5744-be04-655118eeb492,Zdenek Kabelac,person,speaker,
fdaa9ca3-cfd1-4c63-a554-41290a0dbbfb,IP Expo Europe 2018 London's speaker - Tazz Gault,event_appearance,tazz-gault-speaker-ip-expo-europe-2018-london--fdaa9ca3,https://www.crunchbase.com/event_appearance/tazz-gault-speaker-ip-expo-europe-2018-london--fdaa9ca3,,2018-10-02 10:25:22,2018-10-02 10:25:22,95a85d9d-cc5c-4b7c-93f1-124ed5563df1,IP Expo Europe 2018 London,9df11b63-7534-6394-615b-71002e246cc1,Tazz Gault,person,speaker,
