uuid,name,type,permalink,cb_url,rank,created_at,updated_at,short_description,started_on,ended_on,event_url,registration_url,venue_name,description,country_code,state_code,region,city,logo_url,event_roles
7ddd2300-37d0-64e9-8764-3560f8c42b45,Ladybosses: Women in Tech & Media,event,ladybosses-women-in-tech-media-2016420,https://www.crunchbase.com/event/ladybosses-women-in-tech-media-2016420,17295.0,2016-04-13 06:41:05,2018-02-13 01:14:25,Attendees will learn from entrepreneurs and high-level decision makers in the tech and media industries.,2016-04-20,2016-04-20,,https://www.eventbrite.com/e/ladybosses-women-in-tech-media-tickets-24466774782,Spotify Headquaters,"We’d like to invite you to the Ladies@ Spring Networking Event! Ladies@ is an organization dedicated to promoting positive growth for women in tech through frank dialogue, corporate partnerships, and mentorship opportunities.   The theme for this event is Ladybosses and what it means to be a power player in the start-up world.   Attendees will learn from entrepreneurs and high-level decision makers in the tech and media industries on how to grow and leverage a professional network.  To help you grow your network ASAP, we'll have a breakout session for audience members to connect with our Ladyboss speakers and with each other.",USA,NY,New York,New York,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1460580704/n7m6bbragzc0doiyednr.jpg","conference,meetup,other"
c5bb2e5d-3256-fa0e-ce6d-709f0e94a64e,Startup Weekend Warsaw FinTech,event,startup-weekend-warsaw-fintech-20141114-warsaw,https://www.crunchbase.com/event/startup-weekend-warsaw-fintech-20141114-warsaw,7606.0,2014-10-17 23:16:01,2018-02-13 01:14:28,Startup Weekends are 54-hour events designed to provide superior experiential education for technical and non-technical entrepreneurs.,2014-11-14,2014-11-16,,http://swwarsawfintech1114.eventbrite.com/?aff=ebapi,Dom Towarowy Bracia Jab?kowscy,"* What is it:   Exactly what it says on the tin! A 54-hour event for developers, designers and entrepreneurs to hack on your latest fintech idea. You will be able to present your own concept and form a team around it or join forces with someone else. Over the weekend, you will be putting the foundations of a business case, designing and building a product prototype, testing your assumptions with a potential customers, and, on Sunday night, pitch the results of your weekend's work to a panel of investors and industry titans from across banking, insurance and payments. What's more, over the weekend, you will have access to over ten industry experts and mentors to help you bring your ideas to life.   * Who is it for:  Anyone with a passion for fintech is welcome! If you've been toying with an idea, but need a final push to make it happen, if you are looking for ways for form a great team, or if you are simply excited to get involved with a fintech startup at its conceptualisation, this weekend is for you. ",POL,,Mazowieckie,Warsaw,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1407304682/g3q8sthovyaosxac25qp.png",conference
72934bb1-7b1b-4b1b-8606-45acf9ca1df9,Sandbox Illuminate - Idea to Execution,event,sandbox-illuminate-idea-to-execution,https://www.crunchbase.com/event/sandbox-illuminate-idea-to-execution,3714.0,2018-11-09 12:25:49,2018-11-09 12:25:49,A platform for Start-up Enthusiasts to nurture their ideas.,2018-05-10,2018-05-10,https://sandboxstartups.org/events,https://sandboxstartups.org/illuminate,,"Entrepreneurs across India are invited to come up with ideas, present their business plan, and win incubation support from Sandbox Startups.",,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/clw5xolefa9fwn1zh5kh",competition
5b66efbf-4603-4616-bab7-2c821b40f365,Microsoft Ignite 2018,event,microsoft-ignite-2018,https://www.crunchbase.com/event/microsoft-ignite-2018,50.0,2017-12-22 05:34:54,2018-09-07 21:52:06,"Microsoft Ignite gives you five days of hands-on learning, industry insights, and direct access to product experts. ",2018-09-24,2018-09-28,https://www.microsoft.com/en-us/ignite,https://msignite.eventcore.com/auth/login,Orange County Convention Center,"Get the latest insights and skills from technology leaders and practitioners shaping the future of cloud, data, business intelligence, teamwork and productivity. Immerse yourself with the latest tools, tech, and experiences that matter, and hear the latest updates and ideas directly from the experts.",USA,FL,Florida,Orlando,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/kp0n6gkpykga0mrzqdod","conference,meetup,seminar"
aed72798-22e6-c242-c1dd-82077fdd1880,Empire Startups NY FinTech Conference,event,empire-startups-ny-fintech-conference-2016426,https://www.crunchbase.com/event/empire-startups-ny-fintech-conference-2016426,2943.0,2015-12-28 18:49:31,2018-02-13 01:14:19,This full-day conference showcases Silicon Alley FinTech at its best.,2016-04-26,2016-04-26,http://www.fintechstartupsconference.com/nyagenda,http://www.fintechstartupsconference.com/,Webster Hall,,USA,NY,New York,New York,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1451328480/scpdpcrha8atcrhg2a3d.png","conference,demo_day,meetup,networking"
ea4dc449-7f12-7750-a729-0f7ccbbb9d39,Call To Action Conference 2017,event,call-to-action-conference-2017-2017625,https://www.crunchbase.com/event/call-to-action-conference-2017-2017625,5223.0,2017-04-03 03:28:00,2018-02-13 01:14:21,"The CTAConf environment is about problem solving, knowledge sharing and improving your online marketing.",2017-06-25,2017-06-27,http://calltoactionconference.unbounce.com/,http://calltoactionconference.unbounce.com/register-now/,Queen Elizabeth Theatre,"Our hand-picked speaker lineup brings you the perfect mix of digital marketing topics in a streamlined, single-track event. You'll learn from the best marketing speakers from around the world, all in one place.   The CTAConf environment is about problem solving, knowledge sharing and improving your online marketing. Share ideas and build relationships with advanced marketers from around the world.  You’ll get much more than a conference ticket. All attendees are spoiled with breakfast, lunch, snacks, activities, afterparties, swag, conference notes and full access to the recordings of every session.",CAN,BC,British Columbia,Vancouver,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1497410964/ltvef5b9adzx1hp5aogt.png","conference,seminar"
5e6f64aa-6e51-abb2-fa3e-088a38995e93,Psychological Architectures of Digital Behavior Change 2015,event,psychological-architectures-of-digital-behavior-change-2015-20151118,https://www.crunchbase.com/event/psychological-architectures-of-digital-behavior-change-2015-20151118,5449.0,2015-08-17 05:41:28,2018-02-13 01:14:27,3rd day advanced workshop,2015-11-18,2015-11-18,http://www.eventbrite.com/e/psychology-for-digital-behavior-change-toronto-2-day-optional-3rd-day-registration-17825181598,http://www.eventbrite.com/e/psychology-for-digital-behavior-change-toronto-2-day-optional-3rd-day-registration-17825181598,University of Toronto,"Whereas our foundational workshop teaches you the core principles of digital behavior change, this workshop will teach you how to combine those principles into winning design patterns, called ‘psychological architectures’. By the end of the workshop, you will understand popular psychological architectures, such as gamification, landing pages, shaping/habit loops, feedback loops, stages of change, and many others.",CAN,ON,Ontario,Toronto,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",conference
87a17172-853f-8d15-e87b-33a2b67b2530,Techcrunch Meetup + Pitch-Off: Seoul 2015,event,techcrunch-meetup---pitch-off--seoul-2015-2015416,https://www.crunchbase.com/event/techcrunch-meetup---pitch-off--seoul-2015-2015416,12639.0,2015-04-07 06:28:30,2018-02-13 01:14:27,"Meetup + pitch-off event is coming to Seoul for good conversation, and a battle to the death to see which entrepreneurs can dazzle.",2015-04-16,2015-04-16,http://techcrunch.com/events/meetup-pitch-off-seoul-2015/event-home/,http://techcrunch.com/events/meetup-pitch-off-seoul-2015/pitch-off-application/,aA Design Museum,"TechCrunch’s legendary meetup + pitch-off event is coming to Seoul for beer, good conversation, and a battle to the death to see which entrepreneurs can dazzle and excite the judges in under sixty seconds.",KOR,,Seoul-t'ukpyolsi,Seoul,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png","competition,meetup"
84b3f89d-41f0-bfa7-1db9-116045258c35,OSSCube Sponsors the Midmarket CIO Forum,event,osscube-sponsors-the-midmarket-cio-forum-20161023,https://www.crunchbase.com/event/osscube-sponsors-the-midmarket-cio-forum-20161023,14155.0,2016-10-10 11:35:32,2018-02-13 01:14:27,"OSSCube is sponsoring Midmarket CIO Forum in San Antonio, TX, where we will talk about newer technologies.",2016-10-23,2016-10-25,http://www.osscube.com/about/events/midmarket-cio-forum-2016,http://www.osscube.com/about/events/midmarket-cio-forum-2016,La Cantera Resort,"Peer networking. Market insight. Curated solutions. Midmarket CIO Forum is the engaging, informative, and social venue for IT executives and solution providers that covers it all. As the digital future unfolds, join a global community of your CIO peers and gain the insights you need to act, innovate, align your mission critical priorities and transform your business processes.   Some of the Key Highlights of Midmarket CIO Forum are:   * Detailed conference program covering a wide range of industry topics  * Provide a diverse and interactive learning experience with a mix of keynotes, panel discussions, case studies and roundtables   * One-on-one networking opportunities to help mitigate the challenges   * Learn about industry trends from analysts who specialize in the midmarket  * Peer networking and solution research environment, allowing IT executives to customize their appointment with leading solution providers   OSSCube is a sponsor of the summit this year. At the event, we will be showcasing cutting-edge solutions, frameworks, and success stories. We’re equally excited for some great discovery conversations to discuss how we can help your enterprise create a digital strategy and modernize your legacy system.  Meet the Solution Providers Specific to Your Needs:  The Midmarket CIO Forum will help you develop a ''short list'' of technology and service providers who can meet your unique needs. Should you be facing performance constraints with your legacy system or a security concern while migrating your data to the cloud?",USA,TX,Texas,San Antonio,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1476099186/yukuxxbjd8qmvo86deq5.png",conference
c83f47fe-3d03-44e5-9fee-ec9c3665f1f3,The Rise of Smart Hardware: From Idea to Exit (invite only with 2hr Open Bar),event,the-rise-of-smart-hardware-from-idea-to-exit-invite-only-with-2hr-open-bar,https://www.crunchbase.com/event/the-rise-of-smart-hardware-from-idea-to-exit-invite-only-with-2hr-open-bar,4575.0,2018-07-05 04:16:45,2018-10-26 18:56:24,Smart Hardware 101,2015-07-30,2015-07-30,https://www.eventbrite.hk/e/the-rise-of-smart-hardware-from-idea-to-exit-invite-only-with-2hr-open-bar-tickets-17843400090#,https://www.eventbrite.hk/e/the-rise-of-smart-hardware-from-idea-to-exit-invite-only-with-2hr-open-bar-tickets-17843400090#,,"The Rise of Smart Hardware: From Idea to Exit- A night with hardware founders, investors, Asia experts and key players (invite only with 2hr Open Bar)    Before the RISE conference kicks off,  we thought it would be fun to connect all the IoT teams over drinks. We’re buying so come and network with your fellow IoT colleagues and some key experts from Asia & HK who have deep rooted experience in doing business & manufacturing in Hong Kong and Mainland China. Come and enjoy a drink or two with us and hear from:",,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/fb40zswqzr1q0llukhnf",meetup
