uuid,name,type,permalink,cb_url,rank,created_at,updated_at,country_code,state_code,region,city,investment_type,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code,post_money_valuation_usd,post_money_valuation,post_money_valuation_currency_code,investor_count,org_uuid,org_name,lead_investor_uuids
375959cd-b7c4-4af3-9ed5-4b16d75c6ddc,Grant - Imperial Europe Srl,funding_round,imperial-europe-srl-grant--375959cd,https://www.crunchbase.com/funding_round/imperial-europe-srl-grant--375959cd,242365.0,2018-03-21 13:52:30,2018-03-21 13:52:30,ITA,,Lazio,Rome,grant,2015-05-01,55997.0,50000.0,EUR,,,USD,1.0,a1fed2da-5037-48c6-b8ee-3a191baf5f05,Imperial Europe Srl,
2079fcc0-b408-c788-598c-003760201db5,Series D - Aspire Health,funding_round,aspire-health-series-d--2079fcc0,https://www.crunchbase.com/funding_round/aspire-health-series-d--2079fcc0,258863.0,2016-10-04 05:04:57,2018-02-12 23:44:03,USA,TN,Tennessee,Nashville,series_d,2016-10-03,32000000.0,32000000.0,USD,,,USD,4.0,881a10a9-4d5f-be59-9fd6-4c5e44434e17,Aspire Health,3c62db15-4db8-016a-145e-dd1a06d168e2
a826647b-ec11-be9a-7134-f7b17099f24f,Seed Round - Aira Tech Corp,funding_round,aira-seed--a826647b,https://www.crunchbase.com/funding_round/aira-seed--a826647b,170450.0,2015-10-29 12:31:04,2018-02-12 23:56:50,USA,CA,California,La Jolla,seed,2015-10-29,790000.0,790000.0,USD,,,USD,2.0,99083005-9388-f60c-67a8-2949c0cc0995,Aira Tech Corp,
1fe730f2-7d48-ef12-e524-a939dd152120,Non Equity Assistance - Shiftiez,funding_round,shiftiez-non-equity-assistance--1fe730f2,https://www.crunchbase.com/funding_round/shiftiez-non-equity-assistance--1fe730f2,123027.0,2017-09-08 04:58:01,2018-02-12 23:46:48,AUS,,Victoria,Melbourne,non_equity_assistance,2016-08-11,,,,,,USD,1.0,095e1f71-b689-993b-7f7e-f47514f5366e,Shiftiez,
1e8bc6be-1355-4a07-89ef-eb94450bf789,Grant - Quantum NanoPure,funding_round,quantum-nanopure-grant--1e8bc6be,https://www.crunchbase.com/funding_round/quantum-nanopure-grant--1e8bc6be,77908.0,2018-04-02 18:19:43,2018-04-02 18:19:43,,,,,grant,2018-03-28,3870.0,5000.0,CAD,,,USD,1.0,3a16b3bc-fdac-4f5f-a209-42be481419cd,Quantum NanoPure,
6a6075ff-4419-705e-cf58-3adcb0faa401,Venture Round - Vyclone,funding_round,vyclone-series-unknown--6a6075ff,https://www.crunchbase.com/funding_round/vyclone-series-unknown--6a6075ff,197546.0,2012-07-19 12:18:50,2018-02-12 23:40:03,USA,CA,California,Venice,series_unknown,2012-07-19,2700000.0,2700000.0,USD,,,USD,1.0,e4600399-6efb-b952-596d-006760ab2ce4,Vyclone,85960076-7ede-7ff7-6fd3-ff261aff41ab
de2d8ae7-e85d-53a9-8271-aea3508484d6,"Series B - EOS Climate, Inc.",funding_round,eos-climate-inc--series-b--de2d8ae7,https://www.crunchbase.com/funding_round/eos-climate-inc--series-b--de2d8ae7,124056.0,2015-02-09 22:39:34,2018-02-12 23:42:21,USA,CA,California,San Francisco,series_b,2013-10-03,4000000.0,4000000.0,USD,,,USD,1.0,404bca4a-6d17-4bcc-c4f1-029e83997a6a,"EOS Climate, Inc.",
e5236653-3f11-4d06-9048-cbd516e64df2,Venture Round - Biotechware,funding_round,biotechware-series-unknown--e5236653,https://www.crunchbase.com/funding_round/biotechware-series-unknown--e5236653,45954.0,2018-07-05 10:18:56,2018-07-05 10:18:56,ITA,,Piemonte,Torino,series_unknown,2017-10-11,2372898.0,2000000.0,EUR,,,USD,1.0,7b02707b-ea4f-4226-a102-861f59d86240,Biotechware,b5e64c5a-a532-7d8d-2f8b-ca010b7cece8
02470b8a-fe07-67b0-ce2e-f6a071c22c88,Seed Round - Albert.io,funding_round,albert-dot-io-seed--02470b8a,https://www.crunchbase.com/funding_round/albert-dot-io-seed--02470b8a,98322.0,2017-02-07 04:57:31,2018-05-16 15:26:54,USA,IL,Illinois,Chicago,seed,2014-05-27,,,,,,USD,1.0,3b55bc76-5c06-2b33-1ccc-043e31f14344,Albert.io,
5d400ebe-1cf7-0416-4a23-c1b668f596d1,Venture Round - NRT Technology Corp,funding_round,nrt-technology-corp-series-unknown--5d400ebe,https://www.crunchbase.com/funding_round/nrt-technology-corp-series-unknown--5d400ebe,111576.0,2017-09-22 11:42:07,2018-02-12 23:27:37,CAN,ON,Ontario,Toronto,series_unknown,2017-09-20,,,,,,USD,1.0,904e1bac-2aeb-c2c8-ffd4-b0f81790690a,NRT Technology Corp,057d8605-89a1-a8d8-b182-fe953500417e
feb1acad-6525-dbc2-caed-d8159519be42,Venture Round - LivePerson,funding_round,liveperson-series-unknown--feb1acad,https://www.crunchbase.com/funding_round/liveperson-series-unknown--feb1acad,94234.0,2016-01-11 09:33:32,2018-02-13 00:37:50,USA,NY,New York,New York,series_unknown,1999-08-01,19000000.0,19000000.0,USD,,,USD,2.0,c09437c7-7204-c3c9-6774-e617da4a0aab,LivePerson,e83b8f68-8bc9-6b56-220c-0ffbd470b931
8c8ffbdf-5b7d-45bc-8d6e-de55e6058b80,Pre Seed Round - Altius Analytics Labs,funding_round,altius-analytics-labs-pre-seed--8c8ffbdf,https://www.crunchbase.com/funding_round/altius-analytics-labs-pre-seed--8c8ffbdf,36765.0,2019-02-01 15:32:56,2019-02-01 15:32:56,CAN,ON,Ontario,Toronto,pre_seed,2018-12-21,147052.0,200000.0,CAD,,,USD,,7f2969ad-a799-f6ec-1782-7575e43fe727,Altius Analytics Labs,
91780b3f-6989-19ca-31d0-08c814741c90,Seed Round - Ringblingz,funding_round,ringblingz-seed--91780b3f,https://www.crunchbase.com/funding_round/ringblingz-seed--91780b3f,67004.0,2015-12-23 18:28:50,2018-02-12 23:41:37,USA,NY,New York,New York,seed,2013-12-02,120000.0,120000.0,USD,,,USD,2.0,2083e679-ddbd-d9fb-9cec-e672d7c5ae2c,Ringblingz,
db35b3d6-621e-53a6-4f98-d01f461c31b1,Seed Round - Clinton Education,funding_round,clinton-seed--db35b3d6,https://www.crunchbase.com/funding_round/clinton-seed--db35b3d6,181074.0,2017-05-29 22:03:51,2018-02-12 23:41:48,BRA,,Sao Paulo,Vila Olímpia,seed,2016-04-01,,,,,,USD,1.0,b15cf726-7355-3c9a-2836-9a957edd863e,Clinton Education,
811ea4c3-e90a-f5bb-cb5f-962652726d60,Seed Round - Stylenda,funding_round,stylenda-seed--811ea4c3,https://www.crunchbase.com/funding_round/stylenda-seed--811ea4c3,221350.0,2013-06-07 09:16:48,2018-02-12 23:23:51,ITA,,Veneto,Roncade,seed,2013-01-01,,,,,,USD,1.0,8bad8493-6df7-555f-b15e-c04fc6c040e8,Stylenda,
dba56466-a41d-c188-82f0-9ff6bb7d6d63,Non Equity Assistance - Keregen,funding_round,keregen-non-equity-assistance--dba56466,https://www.crunchbase.com/funding_round/keregen-non-equity-assistance--dba56466,79182.0,2017-07-28 05:48:54,2018-02-12 23:19:40,GBR,,England,London,non_equity_assistance,2016-03-07,,,,,,USD,1.0,c190bfd7-b1a2-86ea-df08-cd083b65422d,Keregen,
e43d4562-33fa-35fd-8d3d-4d9440d50f0b,Venture Round - Inventys Thermal Technologies,funding_round,inventys-thermal-technologies-series-unknown--e43d4562,https://www.crunchbase.com/funding_round/inventys-thermal-technologies-series-unknown--e43d4562,78318.0,2014-04-16 03:40:24,2018-02-12 23:41:58,CAN,BC,British Columbia,Burnaby,series_unknown,2014-04-15,,,,,,USD,2.0,f420a7b7-f894-8e0a-b2dc-015b598e56c7,Inventys Thermal Technologies,
39bfc392-89cd-8f29-f589-e42c1223f7d6,Series A - Isabella Products,funding_round,isabella-products-series-a--39bfc392,https://www.crunchbase.com/funding_round/isabella-products-series-a--39bfc392,165527.0,2013-06-13 02:57:39,2018-02-12 23:38:14,USA,MA,Massachusetts,Concord,series_a,2013-06-13,9200000.0,9200000.0,USD,,,USD,4.0,58a9349e-c200-7c82-42ad-625fe6bb3dd3,Isabella Products,b8c36c8d-5750-e1d7-c6f3-a5d16672bc4b
049c39b7-4771-c001-57c1-1e5f9fc0ca0c,Venture Round - Ioptima,funding_round,ioptima-series-unknown--049c39b7,https://www.crunchbase.com/funding_round/ioptima-series-unknown--049c39b7,187611.0,2015-11-27 06:44:32,2018-02-12 23:42:55,ISR,,Tel Aviv,Tel Aviv,series_unknown,2015-11-26,7200000.0,7200000.0,USD,,,USD,1.0,65e5e3f0-3a21-d017-f9e9-512a623fa7cb,Ioptima,3bc50ce1-f4fd-d44b-b4fd-67001746ce55
bdfa3102-8efc-9dbe-6a61-97c02917e0b5,Venture Round - Linkable Networks,funding_round,linkable-networks-series-unknown--bdfa3102,https://www.crunchbase.com/funding_round/linkable-networks-series-unknown--bdfa3102,154409.0,2015-03-02 13:52:24,2018-02-12 23:40:13,USA,MA,Massachusetts,Boston,series_unknown,2015-05-01,16662272.0,16662272.0,USD,,,USD,4.0,141cc822-29a8-fd7f-e63c-c6b4428c323f,Linkable Networks,13e37ea4-8268-7ac6-b5c8-60466f604532
26dc84e8-d026-425d-9a89-b621c4e07d26,Seed Round - Post.fm,funding_round,post-fm-seed--26dc84e8,https://www.crunchbase.com/funding_round/post-fm-seed--26dc84e8,13402.0,2019-05-02 02:46:03,2019-05-02 02:46:03,USA,CA,California,San Francisco,seed,2010-08-16,,,,,,USD,1.0,c7f5642d-388c-4e56-8e52-c072aeeeeda7,Post.fm,
f4850937-a909-b951-445d-5ba312300db5,Angel Round - Howler,funding_round,howler-2-angel--f4850937,https://www.crunchbase.com/funding_round/howler-2-angel--f4850937,102783.0,2014-11-17 18:37:27,2018-02-13 00:36:50,USA,MA,Massachusetts,Boston,angel,2014-11-01,200000.0,200000.0,USD,,,USD,,467d802a-1f2f-cc1e-ef29-9d3bdb5b3abd,Howler,
8bbcdc25-675e-4df4-f87a-f15ae6ddf49d,Seed Round - Float,funding_round,float-4-seed--8bbcdc25,https://www.crunchbase.com/funding_round/float-4-seed--8bbcdc25,186890.0,2016-01-29 09:25:40,2019-03-06 00:47:22,USA,CA,California,Los Angeles,seed,2016-02-09,1500000.0,1500000.0,USD,,,USD,3.0,a346c407-9d74-2b6e-db0b-53def4a191ff,Float,56e40f50-97c7-2a77-255d-1d97d5f30646
8fa67b7b-f63b-ea5c-5ce7-0a2bd136b8e4,Seed Round - Multistory Learning,funding_round,multistory-learning-seed--8fa67b7b,https://www.crunchbase.com/funding_round/multistory-learning-seed--8fa67b7b,129228.0,2013-01-04 12:47:15,2018-02-12 23:44:46,IND,,Tamil Nadu,Chennai,seed,2013-01-03,45000.0,45000.0,USD,,,USD,,2870b1bb-375c-db28-25ae-6f0d0e676eba,Multistory Learning,
748adeae-7b03-be32-038a-b6b8f9662475,Seed Round - Strategic Blue,funding_round,strategic-blue-seed--748adeae,https://www.crunchbase.com/funding_round/strategic-blue-seed--748adeae,170030.0,2013-05-29 01:13:34,2018-02-12 23:57:40,GBR,,England,London,seed,2013-01-08,192744.0,120010.0,GBP,,,USD,1.0,b4321448-b62d-f785-bd75-bb936abaf54f,Strategic Blue,
