uuid,name,type,permalink,cb_url,rank,created_at,updated_at,entity_uuid,entity_name,entity_type,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code
0edd8770-cbb9-92ef-edbe-4b041e745683,Origin Ventures III,fund,origin-ventures-raised-origin-ventures-iii--0edd8770,https://www.crunchbase.com/fund/origin-ventures-raised-origin-ventures-iii--0edd8770,,2013-06-12 05:26:57,2019-03-22 20:53:50,40edc90d-6a5f-ba04-bd86-1f816da74f09,Origin Ventures,organization,2013-11-20,39000000.0,39000000.0,USD
fd889675-b605-982a-ab89-9070b9e45f88,Vives II – Louvain Technology Fund,fund,vives-fund-raised-vives-ii---louvain-technology-fund--fd889675,https://www.crunchbase.com/fund/vives-fund-raised-vives-ii---louvain-technology-fund--fd889675,,2014-06-02 09:12:32,2018-02-12 23:46:19,645c0de7-7032-243b-b654-769504714cc4,Vives Fund,organization,2011-09-01,,,
cde85834-8fea-4e12-be3d-9a9f6e5b6c2e,btov Industrial Technologies Fund,fund,btovpartners-raised-btov-industrial-technologies-fund--cde85834,https://www.crunchbase.com/fund/btovpartners-raised-btov-industrial-technologies-fund--cde85834,,2019-02-14 01:12:09,2019-02-14 01:12:09,67ec227a-b67d-48cd-59d4-7c09aa461ae6,btov Partners,organization,2019-02-13,90123988.0,80000000.0,EUR
28801a59-7e13-ed18-9ba2-a9a50a8b42d8,"Origin Capital Fund II, LLC",fund,origin-capital-partners-raised-origin-capital-fund-ii--llc--28801a59,https://www.crunchbase.com/fund/origin-capital-partners-raised-origin-capital-fund-ii--llc--28801a59,,2013-10-04 12:24:54,2018-02-12 23:32:08,c29610da-a757-0aaa-235b-e3db1dc6c97f,Origin Investments,organization,2013-10-04,100000000.0,100000000.0,USD
198ced8e-8c08-70c1-314b-2bcaaa49de98,Shunwei Capital US dollar-denominated fund 1,fund,shunwei-china-internet-fund-raised-shunwei-capital-us-dollar-denominated-fund-1--198ced8e,https://www.crunchbase.com/fund/shunwei-china-internet-fund-raised-shunwei-capital-us-dollar-denominated-fund-1--198ced8e,,2016-02-21 14:39:07,2018-02-13 01:18:07,24540ba2-35b0-a757-f75e-87565c50692e,Shunwei Capital,organization,2011-04-11,225000000.0,225000000.0,USD
6a1c8d77-481b-478f-ab2f-483ac98c426d,Fund VII,fund,veritas-capital-raised-fund-vii--6a1c8d77,https://www.crunchbase.com/fund/veritas-capital-raised-fund-vii--6a1c8d77,,2019-03-22 10:08:50,2019-03-22 10:08:50,a4056ffc-353c-81ad-b8b3-ac1d943d5f77,Veritas Capital,organization,2019-03-21,,,
434e2509-8e4b-19ad-8238-14af93fa6c97,Flexpoint Fund III LP,fund,flexpoint-ford-raised-flexpoint-fund-iii-lp--434e2509,https://www.crunchbase.com/fund/flexpoint-ford-raised-flexpoint-fund-iii-lp--434e2509,,2015-08-12 06:08:27,2018-02-12 23:42:28,dc661181-6f64-df2e-c5c2-6c2e4acef56f,Flexpoint Ford,organization,2015-08-11,950000000.0,950000000.0,USD
f4074192-812c-9ee6-043f-e36d2a4bcd8b,Resilience Fund IV,fund,resilience-capital-partners-raised-resilience-fund-iv--f4074192,https://www.crunchbase.com/fund/resilience-capital-partners-raised-resilience-fund-iv--f4074192,,2016-01-05 06:16:04,2018-02-13 00:36:10,8623a2eb-032d-2195-e7ae-fc68a899e57c,Resilience Capital Partners,organization,2016-01-04,350000000.0,350000000.0,USD
5d6a396c-9f00-257e-5bd4-02662968c352,Trident Capital Fund IV,fund,trident-capital-raised-trident-capital-fund-iv--5d6a396c,https://www.crunchbase.com/fund/trident-capital-raised-trident-capital-fund-iv--5d6a396c,,2016-01-08 09:39:35,2018-02-12 23:44:19,28d3ff99-0fcb-dce0-8c56-f6d2678c66a1,Trident Capital,organization,2000-01-18,350000000.0,350000000.0,USD
07c892f5-e0f1-b674-7a37-3eafe37a4c60,Indiana Seed Fund III,fund,biocrossroads-raised-indiana-seed-fund-iii--07c892f5,https://www.crunchbase.com/fund/biocrossroads-raised-indiana-seed-fund-iii--07c892f5,,2017-07-13 04:31:05,2018-10-11 03:44:02,7f13ac65-9ae9-4d4a-bc61-f2155187d0fc,BioCrossroads,organization,2018-10-10,9000000.0,9000000.0,USD
