uuid,name,type,permalink,cb_url,rank,created_at,updated_at,roles,domain,country_code,state_code,region,city,investor_types,investment_count,total_funding_usd,total_funding,total_funding_currency_code,founded_on,closed_on,facebook_url,linkedin_url,twitter_url,logo_url
5ff6c126-4aad-4d3e-89d3-6a14c442d588,Miracle Capital,organization,miracle-capital,https://www.crunchbase.com/organization/miracle-capital,768409.0,2019-02-28 10:36:26,2019-02-28 10:36:26,investor,,,,,,,1.0,,,,2016-01-01,,,https://www.linkedin.com/company/miracle-capital/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/sj7s1yltooyvtdstcj1b"
2a936a56-b1fc-d684-81c8-cb8100c67f39,NETGEAR,organization,netgear-inc,https://www.crunchbase.com/organization/netgear-inc,31547.0,2009-01-08 23:17:14,2018-10-26 23:01:34,"company,investor",netgear.com,USA,CA,California,San Jose,,4.0,98000000.0,98000000.0,USD,1996-01-01,,http://www.facebook.com/Netgear,https://www.linkedin.com/company-beta/7423,http://twitter.com/NETGEAR,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/dym7w475rvess84d6by1"
68be9953-7439-1a89-36bc-0e98bf217ee2,James Alexander,person,james-alexander-2,https://www.crunchbase.com/person/james-alexander-2,521855.0,2013-03-01 23:27:34,2018-02-12 23:28:45,investor,,GBR,,Suffolk,Worlingworth,investment_partner,,,,,,,,https://www.linkedin.com/in/james-alexander-617747/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1491655734/djhfanmgey3glvmrk1jx.png"
19802464-9761-158b-36ec-7ef0f0bf1a8a,Dugout Ventures,organization,dugout-ventures,https://www.crunchbase.com/organization/dugout-ventures,204912.0,2016-12-02 04:35:55,2018-08-07 03:12:30,investor,dugoutventures.com,,,,,"private_equity_firm,venture_capital",,,,,2016-11-30,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1480653351/yc92jyq3fyszhooscvse.png"
466da2c7-65a9-3144-ae57-00362b05f3b1,Investment Saskatchewan,organization,investment-saskatchewan,https://www.crunchbase.com/organization/investment-saskatchewan,605303.0,2010-04-23 19:24:07,2018-08-24 09:24:15,investor,investsask.com,CAN,SK,Saskatchewan,Regina,venture_capital,2.0,,,,,,https://www.facebook.com/312771408931128,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png"
6c2676aa-517f-8ba8-5dce-6a7ca8715702,Marco Rodzynek,person,marco-rodzynek,https://www.crunchbase.com/person/marco-rodzynek,148895.0,2014-11-07 19:44:33,2018-02-12 23:39:27,investor,,CHE,,Zurich,Zürich,angel,1.0,,,,,,,https://ch.linkedin.com/pub/marco-rodzynek/2/bab/33,https://twitter.com/marcorodzynek,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1415389464/t5qkbweui7vp7tlbyfpn.jpg"
5ca3af2c-cf8f-8154-472f-1b5134d643cc,Tom Freston,person,tom-freston,https://www.crunchbase.com/person/tom-freston,207889.0,2008-03-14 00:39:12,2018-02-13 00:01:45,investor,,,,,,angel,3.0,,,,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397183091/0938c444eaef1a763e84e2be72588f9d.jpg"
d8d54ea0-54cd-78c4-1257-809ee2c6b424,Craig Newmark Foundation,organization,craig-newmark-foundation,https://www.crunchbase.com/organization/craig-newmark-foundation,606596.0,2016-12-13 05:37:40,2018-02-12 23:24:38,"company,investor",,,,,,,3.0,,,,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png"
7e1e0168-08aa-970d-87e3-81652170b5ba,Kokusai Kogyo,organization,kokusai-kogyo-co-ltd,https://www.crunchbase.com/organization/kokusai-kogyo-co-ltd,831173.0,2017-03-17 09:08:22,2018-10-26 22:37:45,"company,investor",kkc.co.jp,JPN,,Tokyo,Tokyo,,1.0,,,,1947-09-01,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1489741598/bb19tpuo5fjocbxvp0ft.png"
2ffe90ab-e675-7a24-4b7a-e2209aa4e674,James Wells,person,james-g-wells,https://www.crunchbase.com/person/james-g-wells,1038505.0,2013-10-22 11:20:53,2018-02-12 23:59:21,investor,,CAN,BC,British Columbia,Vancouver,investment_partner,,,,,,,,http://in.linkedin.com/in/jamesgwells,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1479513185/v81neqr4gweldh1uap0j.jpg"
