uuid,name,type,permalink,cb_url,rank,created_at,updated_at,org_uuid,org_name,org_cb_url,country_code,state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,share_price_usd,share_price,share_price_currency_code,valuation_price_usd,valuation_price,valuation_price_currency_code,money_raised_usd,money_raised,money_raised_currency_code
1b163266-9312-4b1d-a830-e24bd63c8582,,ipo,shurgard-self-storage-9be1-ipo--1b163266,https://www.crunchbase.com/ipo/shurgard-self-storage-9be1-ipo--1b163266,396,2018-10-17 06:55:11,2018-12-28 19:09:04,b378e1c2-f054-48c1-a03c-26830f2e9be1,Shurgard Self-Storage,https://www.crunchbase.com/organization/shurgard-self-storage-9be1,LUX,,Luxembourg,Münsbach,ebr,SHUR,2018-10-15,26.641091219096303,23.0,EUR,2362948960.0,2040000000.0,EUR,666027280.0,575000000.0,EUR
77384514-cff4-4868-ab10-bd5b48ffd643,,ipo,cgg-sa-ipo--77384514,https://www.crunchbase.com/ipo/cgg-sa-ipo--77384514,3112,2018-03-09 13:03:00,2018-03-09 13:03:00,8352afde-4494-42ae-89b9-b60ca732c547,CGG SA,https://www.crunchbase.com/organization/cgg-sa,FRA,,Ile-de-France,Paris,epa,CGG,1999-08-01,,,,,,,,,
ce20e12d-b310-24d0-8304-7bc45ef69ce0,,ipo,planetout-inc-ipo--ce20e12d,https://www.crunchbase.com/ipo/planetout-inc-ipo--ce20e12d,1894,2014-07-09 06:37:05,2018-07-20 07:29:50,2b50ae12-fac7-3b05-42f9-e91adb29905b,"PlanetOut, Inc.",https://www.crunchbase.com/organization/planetout-inc,USA,CA,California,San Francisco,nasdaq,LGBT,2004-10-14,,,,,,,41850000.0,41850000.0,USD
144350ad-5445-63f4-194f-623d2c8798dc,,ipo,avanti-communications-ipo--144350ad,https://www.crunchbase.com/ipo/avanti-communications-ipo--144350ad,10244,2016-11-14 08:47:09,2018-02-12 23:53:44,9acdc1c4-052b-c39f-5345-d94f6ab179c8,Avanti Communications,https://www.crunchbase.com/organization/avanti-communications,GBR,,England,London,lon,AVN,2007-04-27,,,,,,,,,
e8a6cc7a-b1f0-e68d-4acf-38c24eca0771,,ipo,thyrocare-technologies-ipo--e8a6cc7a,https://www.crunchbase.com/ipo/thyrocare-technologies-ipo--e8a6cc7a,10125,2016-11-23 12:42:56,2018-02-12 23:53:59,d0e9c78e-e36a-feb8-3332-9cd78a012910,Thyrocare Technologies,https://www.crunchbase.com/organization/thyrocare-technologies,IND,,Maharashtra,Mumbai,nse,THYROCARE,2016-05-10,,,,533000000.0,533000000.0,USD,72000000.0,72000000.0,USD
7a1b7e1d-5171-66be-bc22-8632e2341dc4,,ipo,bechtle-ipo--7a1b7e1d,https://www.crunchbase.com/ipo/bechtle-ipo--7a1b7e1d,7642,2017-05-26 13:00:51,2018-02-12 23:47:12,cb7016e8-3517-0259-7c9b-0e092b78d743,Bechtle,https://www.crunchbase.com/organization/bechtle,DEU,,Baden-Wurttemberg,Neckarsulm,etr,BC8,2002-01-11,,,,,,,,,
8a8a7fea-da88-2607-5c0e-7fa5a682db91,,ipo,china-longyuan-power-group-ipo--8a8a7fea,https://www.crunchbase.com/ipo/china-longyuan-power-group-ipo--8a8a7fea,12527,2014-05-20 06:28:28,2018-02-12 23:44:28,c68a5d13-a92d-d69f-cbd5-36672cdc3ab7,China Longyuan Power Group,https://www.crunchbase.com/organization/china-longyuan-power-group,CHN,,Beijing,Beijing,hkg,0916,2009-12-18,,,,,,,,,
b18541ef-1dd8-651f-301b-c746bbe013b3,,ipo,graphic-packaging-ipo--b18541ef,https://www.crunchbase.com/ipo/graphic-packaging-ipo--b18541ef,13918,2014-08-25 06:24:12,2018-08-10 12:54:40,945f6efc-8497-df02-845a-7330a78ece38,Graphic Packaging,https://www.crunchbase.com/organization/graphic-packaging,USA,GA,Georgia,Atlanta,nyse,GPK,1992-12-18,,,,,,,,,
6e35ae81-d696-8ccc-8634-8c8443b3f206,,ipo,abertis-telecom-ipo--6e35ae81,https://www.crunchbase.com/ipo/abertis-telecom-ipo--6e35ae81,15616,2016-11-12 10:20:16,2018-02-13 00:00:02,ad9901cf-f9a0-768e-a6e6-9592742c38ff,Cellnex Telecom,https://www.crunchbase.com/organization/abertis-telecom,ESP,,Catalonia,Barcelona,bme,CLNX,2015-05-15,,,,,,,,,
5a7fe04c-9b63-3500-dd2c-744c33bbf67b,,ipo,starbucks-ipo--5a7fe04c,https://www.crunchbase.com/ipo/starbucks-ipo--5a7fe04c,3282,2014-07-23 09:41:32,2018-02-12 23:36:56,68dd3433-e24d-1885-e987-d769d8ab9b21,Starbucks,https://www.crunchbase.com/organization/starbucks,USA,WA,Washington,Seattle,nasdaq,SBUX,1992-07-02,,,,,,,,,
68fa855d-72fd-88c0-077a-b7a3454c7dbf,,ipo,quotient-biodiagnostics-ipo--68fa855d,https://www.crunchbase.com/ipo/quotient-biodiagnostics-ipo--68fa855d,13920,2014-05-28 06:10:26,2018-07-18 05:24:03,9bb55818-8c03-fbd5-0836-6f7c56fae9fb,Quotient Biodiagnostics,https://www.crunchbase.com/organization/quotient-biodiagnostics,USA,PA,Pennsylvania,Newtown,nasdaq,QTNT,2014-04-25,8.0,8.0,USD,,,,40000000.0,40000000.0,USD
e6e9d331-9a76-e508-ea1b-a25bdbcf1dd1,,ipo,ntels-ipo--e6e9d331,https://www.crunchbase.com/ipo/ntels-ipo--e6e9d331,16422,2016-11-22 07:20:40,2018-02-12 23:23:26,998d3d4a-b4b0-41a2-a9e5-411f6ae52706,NTELS,https://www.crunchbase.com/organization/ntels,KOR,,Seoul-t'ukpyolsi,Seoul,kosdaq,069410,2007-06-29,,,,,,,,,
