uuid,name,type,permalink,cb_url,rank,created_at,updated_at,parent_uuid,parent_name
b1f2c520-7e72-c80b-cbcd-7f462992f1f5,Tata Industries Limited,organization,tata-industries-limited,https://www.crunchbase.com/organization/tata-industries-limited,407270,2014-01-03 18:18:35,2018-07-24 11:32:25,8e90f6fe-430e-c303-bad8-c36c86cbdd93,Tata Group
7b12ec04-9277-1f53-7583-f60e54263f4f,Textron Automotive Co.,organization,textron-automotive-co,https://www.crunchbase.com/organization/textron-automotive-co,661353,2017-04-27 13:05:13,2018-02-12 23:49:50,4fcfe064-dec2-71d5-a4d2-c965b43ed779,Textron
e7bb8256-20c8-4e00-bf9a-13791f88dd4b,LANFest,organization,lanfest,https://www.crunchbase.com/organization/lanfest,400365,2018-04-24 09:29:23,2019-03-25 19:30:23,1e4f199c-363b-451b-a164-f94571075ee5,Intel
c8051f76-2002-61ac-c162-fe695096bed5,Duke Institute for Brain Sciences,organization,duke-institute-for-brain-sciences,https://www.crunchbase.com/organization/duke-institute-for-brain-sciences,424939,2015-08-25 05:30:16,2018-02-13 00:40:36,208fca08-b131-9527-1033-4c433760531a,Duke University
6a1b5f8a-125b-4843-9a27-02e6d512986d,Kindergo,organization,kindergo,https://www.crunchbase.com/organization/kindergo,352743,2018-03-01 00:54:56,2018-03-01 00:54:56,78821742-d11a-4cf0-9bf4-53b0f0324687,Like A Photon Creative
27c334eb-3b17-2af0-d67f-ad7e29d675da,KPMG Saudi Arabia,organization,kpmg-saudi-arabia,https://www.crunchbase.com/organization/kpmg-saudi-arabia,173066,2015-10-16 04:31:12,2019-03-25 20:06:17,4791bb73-2eff-bd6f-bdcd-232f7d2ed445,KPMG
ef3f2dcc-379d-e45a-43ea-29271119a70e,Brazos Capital Management,organization,brazos-capital-management,https://www.crunchbase.com/organization/brazos-capital-management,279359,2016-05-29 01:51:52,2018-02-12 23:28:47,5a1496f1-0f26-d0e0-9815-d378750011e4,American International Group
495d37cc-57ed-aeba-2078-d527fd08ef42,Aport,organization,aport,https://www.crunchbase.com/organization/aport,79688,2014-05-07 10:28:20,2019-03-25 19:48:38,d1de9525-1b61-44ba-b064-c4b460290fed,Universal Commerce Group
571eb71f-7f6f-b25b-ccb1-e5e05076ebaa,ONGC Videsh Limited,organization,ongc-videsh-limited,https://www.crunchbase.com/organization/ongc-videsh-limited,268159,2014-01-22 12:13:10,2019-03-25 19:33:17,e732e5cb-5c77-c093-0163-1f5582546117,Oil and Natural Gas Corporation
097da7d6-b251-7d66-c3f1-0ceac047b78e,Innovations New Ventures,organization,innovations-new-ventures,https://www.crunchbase.com/organization/innovations-new-ventures,509206,2010-03-17 18:42:14,2018-02-12 22:16:41,f23fd798-2cc4-426e-c670-13e81ba24806,Northwestern University
cc77a7b5-cb05-dc15-5c22-8a6d148eeb43,East Africa Data Centre,organization,east-africa-data-centre,https://www.crunchbase.com/organization/east-africa-data-centre,622132,2016-09-20 06:17:22,2019-03-25 19:42:59,d821398f-69c0-98e8-c937-f1d4bfb6c72c,Liquid Telecom
8b807f9b-1c16-7d84-b4d7-bd247109fad3,Gulfstream Aerospace,organization,gulfstream-aerospace,https://www.crunchbase.com/organization/gulfstream-aerospace,87966,2014-05-30 21:50:31,2019-01-23 21:25:01,71ca7b32-b98c-194e-6924-beee2ccb94b4,General Dynamics
4fc479b3-5b42-ad84-e2db-eba4e24409fb,Therm-O-Disc,organization,therm-o-disc,https://www.crunchbase.com/organization/therm-o-disc,527811,2016-05-20 13:37:15,2019-03-25 19:51:12,1880003e-1787-d414-f0a7-20ee85f4df2c,Emerson
c196aa2e-f152-4017-9991-f6e4ba5b52a7,OUTER Gen,organization,outer-gen,https://www.crunchbase.com/organization/outer-gen,376534,2018-09-24 22:43:52,2018-09-24 22:43:52,98463468-4ea7-46a8-ada4-436451827e57,OUTER Industries
591a6b39-3aa6-1d34-d5d6-9670ed708f78,Brown & Brown of Central Michigan,organization,brown-brown-of-central-michigan,https://www.crunchbase.com/organization/brown-brown-of-central-michigan,593314,2017-08-31 10:22:01,2019-03-25 19:59:47,3cf9112d-2600-3769-050c-8d87b9d6d3d3,"Brown & Brown, Inc."
51987ebd-0d83-a390-f97a-73d977e1aa26,Liberty International Underwriters,organization,liberty-international-underwriters,https://www.crunchbase.com/organization/liberty-international-underwriters,389645,2016-05-19 10:46:11,2019-03-30 00:47:04,bce57147-c61a-670f-eefc-1b4409028464,Liberty Mutual Insurance
7748ec6d-4143-1b8a-05af-80d3b3a8dcac,MIT Energy Initiative,organization,mit-energy-initiative,https://www.crunchbase.com/organization/mit-energy-initiative,70220,2012-10-27 10:18:36,2019-03-25 20:37:27,6599f877-7c83-0c47-b05b-dbedd3db7b3a,Massachusetts Institute of Technology - MIT
4c30e77b-2452-d907-af00-873c3b237253,Future Shop,organization,future-shop,https://www.crunchbase.com/organization/future-shop,446818,2013-08-16 18:38:19,2018-10-26 22:16:05,b1c5d726-1242-7ae0-98d3-71e4f0c6578d,Best Buy
88ce4e63-1d0a-ced0-3426-bc1349ff3946,Lumni Perú,organization,lumni-perú,https://www.crunchbase.com/organization/lumni-perú,480602,2015-08-06 18:05:41,2019-03-25 20:43:37,7d6141fc-2c4d-631f-6d04-9e2962bec6b5,"Lumni, Inc."
080058f3-5df6-db53-4a7d-51b6caed0e25,Moynat,organization,moynat,https://www.crunchbase.com/organization/moynat,681217,2017-05-04 13:30:50,2018-02-12 23:55:06,00edab11-0f63-ba20-662d-88365454d746,LVMH
549a8775-2bbc-9a4d-03e4-5f8ffdfaf162,Interamerican University School of Law,organization,interamerican-university-school-of-law,https://www.crunchbase.com/organization/interamerican-university-school-of-law,675187,2015-02-18 06:58:05,2018-02-12 23:53:03,d2524ee8-6327-32d5-325b-af7022616bf4,Inter American University of Puerto Rico
17a8c5f5-bb51-3682-3b08-69c8af8aeafe,Founders Toolkit,organization,founders-toolkit,https://www.crunchbase.com/organization/founders-toolkit,651429,2015-07-28 10:50:03,2018-02-12 23:46:21,75a73229-6a6e-9708-e596-f2a57b69b774,Founded in Holland
1343eaad-13f6-3848-b827-52261babebaf,ES Track,organization,es-track,https://www.crunchbase.com/organization/es-track,130549,2017-01-24 16:29:44,2018-10-26 22:04:59,c02752b6-9c39-360e-c9a1-f0ed16065049,EquipmentShare
9b10db35-dd6a-584d-6a04-c54e3dfdfa58,Union de Pharmacologie Scientifique Appliquée,organization,union-de-pharmacologie-scientifique-appliquée,https://www.crunchbase.com/organization/union-de-pharmacologie-scientifique-appliquée,364258,2016-05-30 13:52:46,2018-02-12 23:51:27,258972b9-2834-f6a7-7da6-08f51a8e5fbf,Bristol-Myers Squibb
93c939ec-10b4-40b7-9f48-58f4bd785de4,Numbers,organization,numbers-5de4,https://www.crunchbase.com/organization/numbers-5de4,90608,2019-02-11 00:31:00,2019-03-01 19:42:26,6b0b273c-7595-474d-bf63-37b01a3a76d0,Xigma Inc
bbdcabcb-08ab-5e25-8dda-4d175952fd99,Gru Comedil S.r.l,organization,gru-comedil-s-r-l,https://www.crunchbase.com/organization/gru-comedil-s-r-l,588580,2016-06-04 10:10:33,2018-02-12 23:40:21,c589438c-dfe9-351f-17fb-3bb9db7916f0,Terex
03c49153-6201-1900-ba8f-9d37d764dc17,Navistar Defense,organization,navistar-defense,https://www.crunchbase.com/organization/navistar-defense,316788,2013-08-01 18:27:07,2019-03-25 20:01:19,02663ade-c0ec-aa3e-63af-227704c79862,Navistar
f1f9a757-25ea-9d94-102e-527ecda9c63f,HDI Plastics,organization,hdi-plastics,https://www.crunchbase.com/organization/hdi-plastics,594036,2017-06-09 11:06:24,2018-02-12 22:19:08,a86ae351-2246-d332-2cc4-d93e22ad57db,Hypertension Diagnostics
ac9b6c92-70e6-e538-5733-6974fcc91ad4,ARPA-E,organization,arpa-e,https://www.crunchbase.com/organization/arpa-e,164676,2014-04-20 16:12:21,2019-03-13 09:54:11,e9343798-ab9e-ab52-bd69-e91a021be3e7,US Department of Energy
f1f897b8-14c9-48ef-b679-e04ad5214134,fgdg,organization,stefan-jugovic-ag,https://www.crunchbase.com/organization/stefan-jugovic-ag,431918,2017-11-08 19:00:53,2018-10-26 22:23:42,95742f37-d3da-4a0f-bf98-3308e96c3bfd,European Design Bureau
619108b3-10cf-d4a8-3191-d79c308d3f26,The Vintage Group,organization,vintage-3,https://www.crunchbase.com/organization/vintage-3,315393,2015-03-19 12:13:36,2018-10-27 00:19:57,3d784e9e-5043-2dde-a28f-5a7981c21bc4,PR Newswire
1f0308a1-eda6-dcad-698c-b38128d62ba5,AnyaUp,organization,anyaup,https://www.crunchbase.com/organization/anyaup,66005,2017-06-16 00:26:30,2018-05-09 09:06:53,de73f222-90de-5af1-2ba1-02177c5171cc,TourWithMe Inc.
5f7c2795-32de-1851-2679-2418bf5be76c,Prime West,organization,prime-west,https://www.crunchbase.com/organization/prime-west,626111,2017-01-26 13:20:10,2018-02-12 23:23:26,550c33d0-b99f-d9be-659f-9ec40840e374,Prime Hospitality Group
22b855c5-2d30-d3a2-94c8-17aff8f665b0,SmartPocket,organization,smartpocket,https://www.crunchbase.com/organization/smartpocket,45853,2015-02-02 11:37:54,2018-11-30 09:19:36,89821c9c-879e-aeea-f8fd-a0aa769a4eff,Findulum Techlabs Pvt Ltd
