uuid,name,type,permalink,cb_url,rank,created_at,updated_at,description
65c154f7-8992-4c2e-99c4-e755089987c8,Old Liquors Invest,organization,old-liquors-invest,https://www.crunchbase.com/organization/old-liquors-invest,310817.0,2019-01-25 11:49:42,2019-02-14 01:18:05,"The Corporate bonds Series OLI-III-B is offered by Old Liquors Invest III B.V. The issuer has as its principal activity the speculative investing in old beverages such as Whiskey, Cognac, Armagnac, Port, Liqueurs, Madeira wines, and other rare and old or special alcoholic beverages."
bd565ade-4b23-4bb0-b965-97fb95b95775,Padoq,organization,padoq,https://www.crunchbase.com/organization/padoq,41514.0,2017-10-09 11:59:00,2018-05-02 09:27:38,"Padoq is a community network platform revolutionising the way communities interact, engage, and make payments online. Launching - June 2018."
5a6370b5-1176-473f-a27d-49e75cd49edf,Mainland,organization,mainland,https://www.crunchbase.com/organization/mainland,340555.0,2018-06-19 04:07:17,2018-10-26 22:44:46,"Enrich lives. That's what we're all about. It's the reason we come to work every day. It's the life blood that flows through all aspects of the company. Loneliness sucks. Everyone knows this because everyone has experienced it at one point or another. But if someone doesn't want to be lonely and truly want more friends, shouldn't there be an easy way to make that happen? Well we think so.  How do we enrich lives? By simply bringing people together. A new best friend could be right around the corner.  So join us. Because here at Mainland we understand no one's and island."
8b8fe41c-07dc-4039-b311-022381af39f5,Kaffeen,organization,kaffeen,https://www.crunchbase.com/organization/kaffeen,63096.0,2019-04-01 17:14:25,2019-04-01 23:14:03,"Kaffeen mobile application is the first mobile application in Saudi Arabia that is specialized in online coffee ordering. It allows users to order/pre-order their coffee online and pick it up, with no extra charge, from the pick-up counter. If want to save time, or simply do not want to wait in line, Kaffeen is your go-to mobile application."
786293a8-f675-40d8-8516-430c8f4c236a,Webstage,organization,webstage,https://www.crunchbase.com/organization/webstage,442866.0,2018-02-13 05:20:36,2019-03-25 20:27:17,"WebStage is a Target Fuel technology that was born when experts in the fields of online marketing, website personalization and web analytics teamed up to make website marketing less “technical”. Websites have always presented a challenge for marketers who don’t have a computer science degree. Most of the time, someone else codes the website, someone else oversees the website, and someone else owns the website! WebStage provides easy ways to personalize content without delays or technical expertise. It allows any marketer to quickly and easily add or alter web content to keep on-site visitors informed and engaged. In minutes, marketers can launch personalized content on any number of pages for different target audiences - a task that typically takes weeks and cost thousands. "
c5f60186-154b-4f3d-a614-6612cc772509,DECA Games,organization,deca-games,https://www.crunchbase.com/organization/deca-games,108271.0,2018-11-05 06:02:09,2019-01-23 21:23:12,"DECA Games uses their unique approach to live operations to breathe new life into games on the decline. The team works with games studios and developers who lack the resources to handle the responsibilities of running a game as a service. DECA Games provides a way for developers to profit from the long tail of games and enhances the experience for a game’s dedicated fanbase with their long term approach to games as a service. They handle all community management, product management, feature development, art, customer support, live events and promotion planning to ensure a high quality integrated service."
88289b66-7592-4d40-bc9a-4ac8e8e2961d,Bosch Automotive Service Solutions,organization,bosch-automotive-service-solutions,https://www.crunchbase.com/organization/bosch-automotive-service-solutions,305772.0,2019-01-19 04:46:57,2019-01-19 04:46:57,"Bosch Automotive Service Solutions provides specialized solutions for OEM vehicle service. Bosch provides the aftermarket and workshops worldwide with a complete range of diagnostic and repair shop equipment and a wide range of spare parts for passenger cars and commercial vehicles. Its product portfolio includes products made as Bosch original equipment, as well as aftermarket products and services developed and manufactured in-house. In its “Automotive Service Solutions” operations, Bosch supplies testing and repair-shop technology, diagnostic software, service training, and information services."
920faa5d-133e-b063-1c8d-9be1caf146b0,IcedTea,organization,icedtea,https://www.crunchbase.com/organization/icedtea,85300.0,2015-11-30 03:20:38,2019-03-25 19:42:21,IcedTea is an application that solves complex math and coding problems. It can solve math up to quantum mechanics and programming problems up to Ruby on Rails by taking a picture. IcedTea provides step-by-step explanations for its users to understand and solve each problem.
a22e5ca8-bcde-43f3-a5f6-883f73b37377,Sampol,organization,sampol,https://www.crunchbase.com/organization/sampol,75948.0,2017-11-23 13:14:47,2018-10-26 23:19:01,"Sampol is an independent, multinational, family owned company."
4fcda8b7-d011-5c86-f9a6-439205c26d08,IrishJobs ie,organization,irishjobs-ie,https://www.crunchbase.com/organization/irishjobs-ie,308593.0,2015-11-27 11:17:28,2019-03-25 19:40:00,"IrishJobs.ie, Ireland's No. 1 recruitment website, has been bringing career seekers and recruiters together since 1995. Trusted by over 900 businesses in Ireland and over half a million users each month, IrishJobs.ie is Ireland's favorite recruitment website.   Irishjobs.ie was the first recruitment website to be established by Saongroup.com, now a world leader in online recruitment, running 500 websites across 30 countries."
