uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits,revenue_range
b531d0a8-52dd-4189-91d1-3d7432d78d71,Meridian Entertainment Group,organization,meridian-entertainment-group,https://www.crunchbase.com/organization/meridian-entertainment-group,585500.0,2017-11-10 19:44:02,2019-03-30 01:33:40,,company,meridianconcerts.com,http://meridianconcerts.com,,,,,,,operating,"Meridian Entertainment Group provides with event and entertainment consultation, programming and management services in Michigan.","Consulting,Events","Events,Media and Entertainment",,,,,,,,1-10,info@meridianconcerts.com,231-935-3900,https://www.facebook.com/meridianentertainmentgroup,,https://www.twitter.com/meridianconcert,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1509753042/iirm0g9yl4qxexn8uooc.jpg",,,,company,,
094dbc9c-ca77-ec1c-4a92-be1092ef1052,RushRate,organization,rushrate,https://www.crunchbase.com/organization/rushrate,602764.0,2016-11-14 11:59:52,2018-02-12 23:27:40,,company,,,,,,,,,operating,Ranking potential members of a fraternity.,"Communities,Internet","Community and Lifestyle,Internet Services",1.0,,,,,2016-10-01,,unknown,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,company,,
d103ef85-1ac5-e952-2784-1d8f321aa0b3,Bishop Canevin High School,organization,bishop-canevin-high-school,https://www.crunchbase.com/organization/bishop-canevin-high-school,483700.0,2016-05-18 18:53:33,2018-10-26 21:47:45,,school,bishopcanevin.org,http://bishopcanevin.org/,USA,PA,Pennsylvania,Pittsburgh,2700 Morange Road,15205,operating,"Bishop Canevin High School is a Catholic high school in Pittsburgh, Pennsylvania.","E-Learning,Education,Higher Education","Education,Software",,,,,1958-08-17,,,101-250,info@bishopcanevin.org,412.456.3000,https://www.facebook.com/bishopcanevin,https://www.linkedin.com/company/bishop-canevin-high-school,https://twitter.com/bishopcanevin,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1463597520/imq2izxki4y29jkynpit.jpg",,,,school,,
0fbfb7ac-4015-1561-6d42-ec9c4a87a324,Paladina Health,organization,paladina-health,https://www.crunchbase.com/organization/paladina-health,7675.0,2016-09-02 08:49:36,2018-10-26 23:08:51,,company,paladinahealth.com,http://www.paladinahealth.com,USA,CO,Colorado,Denver,1551 Wewatta Street,80202,acquired,Paladina Health is an innovative employer-sponsored healthcare provider.,"Health Care,Hospital,Medical,Personal Health",Health Care,1.0,165000000.0,165000000.0,USD,2010-01-01,2018-08-23,,11-50,memberservices@paladinahealth.com,303-405-2100,https://www.facebook.com/206019739569801,https://www.linkedin.com/company/paladina-health,https://www.twitter.com/paladinahealth,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1472806170/sm4hopceixrj5dtprlwq.png",,,,company,,
1ec47fa1-0727-4a87-b872-7128ec94e7cd,Spire Group,organization,spire-group-pc,https://www.crunchbase.com/organization/spire-group-pc,520650.0,2018-12-17 09:57:58,2018-12-17 10:02:14,,company,spirecpa.com,http://www.spirecpa.com,USA,NJ,New Jersey,Clark,100 Walnut Avenue Suite 103,07066,acquired,Spire Group is a full-service accounting and consulting firm.,"Accounting,Consulting","Financial Services,Professional Services",,,,,,,,unknown,,,,https://www.linkedin.com/company/spire-group-pc/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/ol6rfg6u7wzut0fp9g2d",,,,company,,
b612bc69-c1dd-a92e-a349-a5b767922df8,Applied BioCode,organization,applied-biocode,https://www.crunchbase.com/organization/applied-biocode,37317.0,2013-07-05 20:04:08,2019-03-25 19:59:05,Applied BioCode Inc.,company,apbiocode.com,http://apbiocode.com,USA,CA,California,Santa Fe Springs,"10020 Pioneer Blvd., Suite 102",90670,operating,"Applied BioCode commercializes a multiplexing system used in clinical testing, life science research, medicine, and the AgBio field.","Biotechnology,Genetics,Health Diagnostics,Life Science","Biotechnology,Health Care,Science and Engineering",3.0,17505680.0,17505680.0,USD,2008-01-01,2016-04-08,,11-50,inquiry@apbiocode.com,(562)801-0050,,https://www.linkedin.com/company/appliedbiocode,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397180448/88376f41857507ce69e13ecf32798782.gif",,,,company,,$1M to $10M
7cd3d801-9379-c555-d145-e237a5120dbe,DimDrop,organization,dimdrop,https://www.crunchbase.com/organization/dimdrop,261056.0,2015-08-06 21:33:51,2019-03-25 20:02:56,,company,dimdrop.com,http://www.dimdrop.com,USA,TX,Texas,Houston,410 Pierce St,77007,operating,DimDrop's technology enables teams to easily create and track all mobile communications with customers.,"Communities,Developer Tools,Enterprise Software,Location Based Services,Mobile,SaaS","Community and Lifestyle,Data and Analytics,Internet Services,Mobile,Navigation and Mapping,Software",,,,,2013-07-09,,,1-10,facebook@dimdrop.com,+1 (888) 683-3685,https://www.facebook.com/DimDropLLC,https://www.linkedin.com/company/dimdrop,https://twitter.com/@dimdrop,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1438896535/qfbzwyekefujmyryz5kz.png",,,,company,,Less than $1M
a2f1dd46-1733-ad93-7197-8dcea98514a4,specdox,organization,specdox,https://www.crunchbase.com/organization/specdox,748269.0,2015-10-22 08:59:53,2019-03-25 18:39:55,,company,specdox.com,http://specdox.com,,,,,,,operating,"Specfox is a web specification tool that allows users to upload screens, add notes, and generate PDFs to share with their developers.","Information Technology,Robotics,Software","Hardware,Information Technology,Science and Engineering,Software",,,,,2015-01-01,,,1-10,,,https://www.facebook.com/specdox,,https://www.twitter.com/specdox,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1445504359/ovlwhqrqkarwc6bxbmom.jpg",,,,company,,Less than $1M
0cbe819b-a9c0-d059-b5c3-7e7a859c4ec7,Trainline Europe,organization,capitaine-train,https://www.crunchbase.com/organization/capitaine-train,19943.0,2013-06-19 16:39:59,2018-11-28 20:39:27,,company,trainline.eu,https://www.trainline.eu/,FRA,,Ile-de-France,Paris,20 rue Saint-Georges,75009,acquired,Trainline (formerly Captain Train) sells train tickets.,"Internet,Ticketing,Travel","Events,Internet Services,Media and Entertainment,Travel and Tourism",3.0,11984031.0,9400000.0,EUR,2009-02-08,2014-12-02,,11-50,o2o@genvayvar.rh,,https://www.facebook.com/trainline.eu,https://www.linkedin.com/showcase/trainline-eu/,https://twitter.com/trainline_eu,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1473199069/arbgzehwy4zxk17ik2ss.jpg",Captain Train,,,company,,
67a4cf68-14d2-486f-a94d-66a2b93f438d,Amplify ROI,organization,amplify-roi,https://www.crunchbase.com/organization/amplify-roi,409008.0,2018-08-27 13:49:27,2019-03-25 19:08:35,,company,amplify-roi.com,https://amplify-roi.com/,USA,FL,Florida,Jacksonville,4600 Touchton Rd #150,32246,operating,Digital Marketing Services,"Digital Marketing,SEO,Web Design","Design,Internet Services,Sales and Marketing",,,,,2014-02-01,,,1-10,info@amplify-roi.com,904-878-1960,https://www.facebook.com/amplifyroi/?fb_dtsg_ag=AdzOByikAcyAfR1DbxMP4MGy_6zzvnYDi2TALQoyuau_AQ%3AAdzWq1osvHjoglzVPvAZMkN6KXmwoF5XnMxld0DPPmh6NQ,https://www.linkedin.com/company/amplify-roi/,https://twitter.com/amplifyroi,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/d5guhqan7vxlzcxgsesx",Amplify ROI Jacksonville,,,company,,Less than $1M
