uuid,name,type,permalink,cb_url,rank,created_at,updated_at,first_name,last_name,gender,country_code,state_code,region,city,featured_job_organization_uuid,featured_job_organization_name,featured_job_title,facebook_url,linkedin_url,twitter_url,logo_url
cdd26f98-3ec8-af0e-788a-8e6c41a8ba02,Roger Hertog,person,roger-hertog,https://www.crunchbase.com/person/roger-hertog,857202.0,2016-01-09 07:09:21,2018-02-12 23:47:10,Roger,Hertog,male,,,,,ac3b6d74-df8b-2dd7-5094-691b6778b768,The Washington Institute for Near East Policy,Member of Board of Directors,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png"
04f28deb-1977-56e2-d0fe-c2b652bc3805,Shazia Saleem,person,shazia-saleem,https://www.crunchbase.com/person/shazia-saleem,874228.0,2014-05-30 06:44:38,2018-02-12 23:55:19,Shazia,Saleem,female,GBR,,England,London,687b58ca-45bb-3822-6925-b6ac933be642,padpeep,Founder,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1401432099/hohodvu5opdobrd7asgi.jpg"
d8f0c902-bc6a-4895-9525-2432906c44d8,Johan Wewel,person,johan-wewel,https://www.crunchbase.com/person/johan-wewel,700072.0,2019-03-29 18:59:14,2019-03-29 18:59:14,Johan,Wewel,male,SWE,,Stockholms Lan,Stockholm,,,,,https://www.linkedin.com/in/johan-wewel-2273b18a/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/zc6t7mfdegbzcqamxwvk"
a33b8080-2a46-683a-315e-0d37a63da90a,Shaw-wen Yang,person,shaw-wen-yang,https://www.crunchbase.com/person/shaw-wen-yang,626357.0,2012-08-02 00:47:19,2018-02-12 23:24:11,Shaw-wen,Yang,not_provided,,,,,56615b30-cced-6a69-e103-c52e0a1cd310,Luxanova,Treasurer,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png"
c4ed394a-351b-43a2-b3e3-4228fbdb9bc6,Nikita Legki,person,nikita-legki,https://www.crunchbase.com/person/nikita-legki,569389.0,2017-11-13 06:12:16,2018-02-12 23:52:15,Nikita,Legki,male,FRA,,Alsace,Strasbourg,f5299cb3-ec1f-7ac6-061d-74a7581dbe92,Berg Audio,"Owner, A&R, Label Management, Distribution & Marketing",,https://www.linkedin.com/in/nikita-legki-209092b2/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/ondqrnr54kdbpwj1db4l"
29e8ed5f-f49d-6b9b-eb9d-4cd1ca4f1722,Nishit Kumar,person,nishit-kumar,https://www.crunchbase.com/person/nishit-kumar,132779.0,2013-09-04 20:32:36,2018-02-13 00:58:09,Nishit,Kumar,male,,,,,e8988338-60c1-933a-f033-f44c0bf83f22,Zoutons,Founder,,http://in.linkedin.com/in/nishitkumarbiotech,,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png"
da7b7130-8846-47a6-aa36-1df1fce50ee3,Jonas Hyllseth Ryen,person,jonas-hyllseth-ryen,https://www.crunchbase.com/person/jonas-hyllseth-ryen,471763.0,2019-01-04 11:47:45,2019-01-04 11:48:02,Jonas,Hyllseth Ryen,male,NOR,,Oslo,Oslo,b4d19bdc-6c96-48df-94ac-8b34872ab3fe,Learnlink,CEO,,https://www.linkedin.com/in/jonasryen,https://twitter.com/jonasry1,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/gojh1rzcmapvuqifzeh8"
55176172-31f7-3d13-c339-d23d5687a132,Rodney Tallman,person,rodney-tallman,https://www.crunchbase.com/person/rodney-tallman,617858.0,2014-07-28 04:32:03,2018-02-12 23:45:10,Rodney,Tallman,male,USA,OR,Oregon,Portland,51cfcbb7-d630-d76b-ebf3-16594cd16d2a,LIFE SPAN labs,Founding Partner & CEO,http://www.facebook.com/rod.tallman.7,http://www.linkedin.com/pub/rod-tallman/4/548/996,http://twitter.com/rodt28,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1406522247/uosrlkjod5bumljg5rto.jpg"
2d81ebb6-3355-4adc-02e4-cf373274f998,Josh Smith,person,josh-smith-8,https://www.crunchbase.com/person/josh-smith-8,310522.0,2015-08-24 21:01:07,2018-02-12 23:38:23,Josh,Smith,male,USA,CA,California,San Francisco,,,,,,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1440450035/m75lez6lywl8ckgtwkuy.jpg"
087e01c7-7076-42e1-a05d-e0ab3f097b0c,Reed Putnam,person,reed-putnam,https://www.crunchbase.com/person/reed-putnam,132655.0,2018-07-17 05:13:41,2018-07-17 05:13:41,Reed,Putnam,male,,,,,,,,,https://www.linkedin.com/in/reedputnam/,,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/d4krbirwq2bdnstihie3"
